System.names	No.genes	Selection.pressure	p	q	Genes	Gene.ranks	Signal
ZNF10	258	0.0022	0.319	0.9747	GATA3|THOC2|B4GALT6|RBM39|TTLL3|HADHA|SETD3|ARID4A|MAGI2|BST2|CUL3|PGAP1|ACP5|CAP2|VHL|KDELR2|GALNS|CBARA1|RHBDL1|IVD	19|115|120|142|146|152|179|209|216|228|297|373|376|392|415|432|442|456|467|472	5.95|5.31|5.29|5.21|5.17|5.15|5.06|4.96|4.93|4.9|-4.71|4.54|-4.53|4.5|-4.46|-4.43|4.39|-4.36|4.34|-4.33
NFATC1	338	0.0021	0.319	0.9747	ROR1|RPL12|MTHFD2|TNFRSF8|CAMSAP1L1|TTLL3|PTPRE|SUPT5H|SAT1|SLC25A12|ZEB2|THBD|SCRN1|GPLD1|MRPS11|ZNF318|ABLIM1|CAPG|PLEK|SPAG7	6|31|75|103|115|146|176|184|190|194|222|269|275|284|307|312|338|376|382|382	6.33|5.76|-5.49|5.36|5.31|5.17|-5.07|5.05|5.02|5.01|4.91|4.77|4.76|4.74|-4.7|4.69|4.63|4.53|-4.52|4.52
MECP2	298	0.0022	0.323	0.9747	ZC3H4|LDHA|TXNL4A|VPS13D|CEP110|DENND5A|MTHFD2|LOC100129361|TPP1|ENDOD1|POLR2F|PLCB2|KLC1|ARID4A|WDR46|TNKS|DSCR3|PMPCA|SNRPC|BAIAP3	4|5|12|15|46|46|75|77|101|117|139|187|205|209|216|228|238|257|261|289	6.37|6.34|6.1|6.05|-5.67|5.67|-5.49|5.48|5.37|-5.3|5.22|5.03|4.98|4.96|-4.93|4.9|4.86|-4.81|4.79|4.73
ZNF268	162	0.0024	0.324	0.9747	UBE2L3|B4GALT6|LCP1|ABHD5|HIST1H3D|PMF1|CUL5|GOSR1|KDM6B|ADD2|N4BP2L2|UGT2B7|ZNF254|PCDHGA12|BCLAF1|CLOCK|HEXB|NPTX1|RELN|PFKM	106|120|126|139|156|186|205|307|373|397|407|426|426|438|509|543|566|574|574|678	-5.34|5.29|5.28|5.22|5.14|5.04|4.98|4.7|-4.54|4.49|-4.47|4.44|4.44|-4.41|4.26|-4.19|4.16|-4.15|-4.15|-3.98
BATF	281	0.0023	0.33	0.9747	RABEPK|ENDOD1|GCNT2|KIF3B|TNKS|HBXIP|USPL1|DSCR3|ZNF318|STMN1|PTPRN2|UBL4A|JUP|SPAG7|PTPRG|MET|METTL1|GATM|N4BP3|GZMK	1|117|126|161|228|234|236|238|312|316|333|333|348|382|388|432|438|456|467|547	6.47|-5.3|5.28|5.12|4.9|-4.88|4.87|4.86|4.69|4.68|4.64|-4.64|4.61|4.52|-4.51|4.43|-4.41|-4.36|-4.34|4.18
ZMIZ1	271	0.0021	0.331	0.9747	QPCT|PTCH1|RAB3GAP2|KCNA3|HIST1H2AE|SORBS2|ENDOD1|HADHA|SRF|DYNLT3|NFX1|ADAM28|EPHB6|IDI1|C9|MYO1B|GPLD1|RNASE2|SC4MOL|ZFPL1	29|47|54|70|80|96|117|152|176|194|228|257|269|269|280|280|284|289|307|319	5.78|5.63|5.58|5.51|5.46|-5.39|-5.3|5.15|5.07|5.01|4.9|4.81|-4.77|-4.77|4.75|-4.75|4.74|4.73|4.7|-4.67
KLF5	233	0.0024	0.334	0.9747	ABCD4|CPT1B|MTMR11|DENND5A|NSMAF|FABP5|CLEC11A|ACADL|ARHGAP6|C1QL1|E2F3|LPHN3|HIST1H2AH|PLAT|ISCA1|FLT1|ZMIZ2|PCDHGA12|GALNS|CHRND	10|21|25|46|52|75|82|129|148|194|244|259|316|333|402|426|432|438|442|456	6.12|5.9|-5.84|5.67|5.59|5.49|5.45|-5.27|5.16|5.01|4.85|-4.8|4.68|4.64|4.48|4.44|-4.43|-4.41|4.39|4.36
CEBPD	471	0.0019	0.336	0.9747	RABEPK|SPON1|CST7|SERPINA1|RIN2|DST|THOC2|ARHGEF17|FCER1G|BLVRB|ETS2|POLD4|SAT1|SERPINB6|CD14|PADI2|FCGR3A|THBD|BST1|LDB2	1|16|36|63|72|112|115|126|129|179|184|186|190|194|207|261|269|269|275|280	6.47|-6.04|5.72|5.54|-5.5|5.32|5.31|-5.28|5.27|-5.06|5.05|5.04|5.02|5.01|4.97|-4.79|4.77|4.77|4.76|4.75
HOXC6	229	0.0023	0.337	0.9747	ZFP36L2|VPRBP|TIMP1|BCL2|DST|ARHGEF17|BCAS1|RPL38|TP53I3|E2F3|PADI2|IDI1|SERPINA5|CD3G|VWF|ACOX1|ADM|ITGA6|SAFB|TBCE	84|91|100|106|112|126|143|168|212|244|261|269|275|327|327|373|388|388|397|402	5.43|-5.41|-5.38|5.34|5.32|-5.28|-5.2|-5.1|4.94|4.85|-4.79|-4.77|4.76|4.65|-4.65|4.54|4.51|-4.51|4.49|4.48
HHEX	548	0.002	0.338	0.9747	RABEPK|LDHA|CST7|PTPRCAP|HLA-DMA|SLC25A36|CAMSAP1L1|CLK1|DRG1|PLCB2|SAT1|SLC25A12|UBA7|CTNND1|NFATC4|USPL1|POLD1|ADAM28|PADI2|POLD3	1|5|36|96|110|110|115|135|152|187|190|194|199|216|230|236|253|257|261|269	6.47|6.34|5.72|5.39|5.33|-5.33|5.31|5.24|5.15|5.03|5.02|5.01|-5|-4.93|4.89|4.87|4.82|4.81|-4.79|4.77
NFYA	276	0.002	0.339	0.9747	ZC3H4|BTN1A1|WISP2|PTPRCAP|CFDP1|TCERG1|HYAL3|R3HDM1|IL1B|SNX27|FAM120A|LGR5|MET|ASL|BUB1B|SYNJ1|KRT35|PUM1|PRKAG1|PAIP1	4|43|87|96|126|172|202|251|289|333|358|402|432|485|529|529|598|606|618|647	6.37|5.68|5.42|5.39|-5.28|-5.08|4.99|4.83|-4.73|-4.64|4.58|-4.48|4.43|4.3|-4.22|4.22|4.11|4.09|-4.07|-4.02
UBN1	298	0.002	0.344	0.9747	MTHFS|TSN|CS|WISP2|UBE2L3|SRRT|POLR2F|KCNA5|BTAF1|KIAA0040|SUPT5H|M6PR|TAF6L|TTF1|GYPE|VPS11|OAS1|SAFB|LCP2|CASP1	32|61|66|87|106|120|139|156|160|168|184|202|228|234|307|319|382|397|402|426	5.75|5.55|5.52|5.42|-5.34|5.29|5.22|5.14|5.13|-5.1|5.05|-4.99|4.9|4.88|4.7|4.67|4.52|4.49|4.48|-4.44
TAF12	352	0.0019	0.344	0.9747	MTHFS|CAMSAP1|TPP1|ATP5C1|FMNL1|SETD3|SNRNP40|TLE1|LYPLA1|BST2|PMVK|TAF6L|HBXIP|STXBP3|ADAM28|NCOA1|NR4A2|KDM6B|SKIV2L2|AHCY	32|61|101|160|168|179|199|216|222|228|228|228|234|244|257|257|364|373|426|467	5.75|5.55|5.37|5.13|5.1|5.06|5|4.93|4.91|4.9|-4.9|4.9|-4.88|-4.85|4.81|4.81|4.56|-4.54|4.44|4.34
NFE2L2	221	0.0021	0.345	0.9747	ABCD4|BPGM|ALDH9A1|ARL6IP1|MGST3|HSPA13|TMSB15A|M6PR|WDR73|EIF5|FHL2|CUL7|TNFAIP2|KDELR2|PCDHGA12|ZNF354A|SYNJ1|IFIT1|TOPORS|HMGA2	10|43|61|64|91|184|184|202|253|293|348|415|415|432|438|494|529|534|543|580	6.12|5.68|5.55|5.53|5.41|-5.05|-5.05|-4.99|-4.82|-4.72|-4.61|-4.46|-4.46|-4.43|-4.41|-4.29|4.22|4.21|-4.19|-4.14
FOXC1	224	0.0021	0.346	0.9747	CLPS|RIN2|TIMP1|UBE2L3|SNRNP40|MAGI2|TAF6L|USPL1|EIF5|TUSC3|MCM4|TNFSF8|OSMR|FAM3C|KCNJ15|COPS8|DZIP3|SPG11|TAF1|SDC4	49|72|100|106|199|216|228|236|293|362|407|445|472|485|499|558|631|655|655|673	5.62|-5.5|-5.38|-5.34|5|4.93|4.9|4.87|-4.72|4.57|4.47|-4.38|4.33|-4.3|4.28|-4.17|4.05|-4.01|4.01|3.99
MORC3	301	0.002	0.346	0.9747	WNT10B|VPS13D|CLTA|ADA|PBX2|FABP5|AAMP|DRG1|HIST1H3D|ZEB2|ADD1|STXBP3|BMI1|SCRN1|FLT3|ALDOC|CDKN1B|MCM4|N4BP2L2|C11orf51	8|15|28|43|46|75|91|152|156|222|234|244|275|275|369|407|407|407|407|415	6.26|6.05|5.8|5.68|5.67|5.49|5.41|5.15|5.14|4.91|4.88|-4.85|4.76|4.76|4.55|4.47|-4.47|4.47|-4.47|4.46
STAT1	353	0.002	0.346	0.9747	GATA3|CST7|ALDH9A1|ARL4A|IFI35|TNFRSF8|ERH|RAP2A|BLVRB|M6PR|CD14|BST2|ARNTL|SC4MOL|SPRY2|STMN1|SLC1A3|ESD|ACOX1|CAPG	19|36|61|70|103|103|142|164|179|202|207|228|236|307|316|316|338|344|373|376	5.95|5.72|5.55|5.51|5.36|5.36|-5.21|5.11|-5.06|-4.99|4.97|4.9|-4.87|4.7|-4.68|4.68|4.63|-4.62|4.54|4.53
ELK3	366	0.002	0.348	0.9747	ZC3H4|SPON1|RIN2|LOC100129361|BCL2|LCP1|ACOT7|KIAA0040|BLVRB|SCCPDH|PIGH|STXBP3|SEC62|RHOQ|GRLF1|MRFAP1L1|NR4A2|SPAG7|SCAMP1|SAFB	4|16|72|77|106|126|146|168|179|179|228|244|269|293|327|327|364|382|392|397	6.37|-6.04|-5.5|5.48|5.34|5.28|-5.17|-5.1|-5.06|5.06|-4.9|-4.85|4.77|-4.72|4.65|4.65|4.56|4.52|4.5|4.49
ZNF189	265	0.0022	0.35	0.9747	CSNK1D|SLC25A16|CS|EXTL1|SRRT|CLK1|RBM39|RPS19|HMGA1|TTF1|E2F3|SEC22B|MRFAP1L1|FAM120A|NR4A2|ACOX1|SEPT7|ZNF273|SLC5A6|ATXN2L	20|36|66|106|120|135|142|148|152|234|244|259|327|358|364|373|382|397|415|445	5.94|5.72|5.52|-5.34|5.29|5.24|5.21|5.16|5.15|4.88|4.85|4.8|4.65|4.58|4.56|4.54|4.52|-4.49|4.46|4.38
PITX2	188	0.0022	0.354	0.9747	COX10|TRIM25|ABCC10|ARHGAP6|PLXNA2|IDH3G|RPS17|HP|ARCN1|EIF1AY|EREG|NEUROD1|ABCB1|HMGA2|RPL34|OSBPL2|LYPD3|SEMA3C|AGFG2|TRIM14	4|8|75|148|156|172|176|352|426|432|513|558|574|580|590|624|631|647|655|678	6.37|6.26|5.49|5.16|5.14|-5.08|5.07|4.59|-4.44|4.43|4.25|-4.17|-4.15|-4.14|-4.12|4.06|-4.05|4.02|-4.01|3.98
EGR2	308	0.002	0.354	0.9747	AKAP12|GATA3|QPCT|BPGM|TSN|VWA5A|RNF115|ARNTL|PMPCA|SPRY2|PTPRN2|PLEK|LCP2|ARCN1|OSMR|ENO2|BEX4|NDUFS1|GZMK|ATP1A1	18|19|29|43|61|129|209|236|257|316|333|382|402|426|472|503|518|524|547|590	6|5.95|5.78|5.68|5.55|5.27|4.96|-4.87|-4.81|-4.68|4.64|-4.52|4.48|-4.44|4.33|-4.27|-4.24|4.23|4.18|4.12
RARA	184	0.0024	0.358	0.9747	POU3F2|BTN1A1|NADK|EIF4G3|ARHGAP6|TNFAIP3|M6PR|SOD1|FAM120A|NR4A2|KDM6B|CDKN1B|STK16|PCDHGA12|BLK|LCT|UGP2|APOBEC3C|GNG5|C2CD2	18|43|120|130|148|184|202|234|358|364|373|407|418|438|467|494|509|580|580|598	6|5.68|-5.29|5.26|5.16|5.05|-4.99|-4.88|4.58|4.56|-4.54|-4.47|4.45|-4.41|4.34|4.29|4.26|4.14|-4.14|-4.11
TAF7	263	0.0019	0.361	0.9747	ABCC10|LOC100129361|DST|THOC2|RBM39|RAP2A|SETD3|PMF1|USPL1|PLK1|CCDC6|FHL2|FLT3|TNFRSF10B|SEPT7|S100A1|HDLBP|TOPORS|RAB3A|VGLL4	75|77|112|115|142|164|179|186|236|244|297|348|369|369|382|442|479|543|558|566	5.49|5.48|5.32|5.31|5.21|5.11|5.06|5.04|4.87|4.85|4.71|-4.61|4.55|-4.55|4.52|4.39|4.31|-4.19|4.17|-4.16
MAF	578	0.0018	0.362	0.9747	TXNL4A|GATA3|QPCT|TIAM1|CST7|BTBD3|RIN2|FABP5|ZFP36L2|HLA-DMA|SLC25A36|DST|THOC2|CLK1|LILRB2|SERPINB6|GRAP2|MAT2A|FADS1|NR1D1	12|19|29|33|36|39|72|75|84|110|110|112|115|135|176|194|207|219|238|244	6.1|5.95|5.78|5.74|5.72|-5.71|-5.5|5.49|5.43|5.33|-5.33|5.32|5.31|5.24|-5.07|5.01|4.97|4.92|4.86|4.85
NR2C1	310	0.0019	0.363	0.9747	ROR1|AMH|CPT1B|MTHFS|NCKAP1L|VPRBP|CFDP1|RBM39|ACOT7|KIAA0040|RPIA|USPL1|FADS1|OVGP1|SEC24B|DOK1|TNFRSF10B|MCM4|ZNF254|CENPF	6|9|21|32|82|91|126|142|146|168|190|236|238|312|338|351|369|407|426|459	6.33|6.23|5.9|5.75|-5.45|-5.41|-5.28|5.21|-5.17|-5.1|5.02|4.87|4.86|4.69|4.63|-4.6|-4.55|4.47|4.44|-4.35
TAF9	331	0.0019	0.367	0.9747	MANF|PSMC1|MTF1|ABCC10|PTPRCAP|CLCN7|SRSF3|ERH|ATP5C1|LYPLA1|HBXIP|SOD1|ETFDH|KRT5|SNRPC|EPHB6|BANF1|USP24|DBF4|PLEKHB1	30|36|39|75|96|126|135|142|160|222|234|234|244|257|261|269|293|297|307|333	5.77|5.72|5.71|5.49|5.39|5.28|-5.24|-5.21|5.13|4.91|-4.88|-4.88|-4.85|-4.81|4.79|-4.77|4.72|4.71|4.7|4.64
TFEC	324	0.0019	0.367	0.9747	MTMR11|BDNF|CST7|CLPS|U2AF2|CS|RIN2|ABCC10|MGST3|VPRBP|LILRB2|SCCPDH|DSCR3|LPHN3|HOXC6|MYO1B|SELE|SLC1A3|PEA15|LCP2	25|27|36|49|49|66|72|75|91|91|176|179|238|259|280|280|327|338|392|402	-5.84|5.81|5.72|5.62|-5.62|5.52|-5.5|5.49|5.41|-5.41|-5.07|5.06|4.86|-4.8|4.75|-4.75|-4.65|4.63|4.5|4.48
ZNF195	193	0.0022	0.368	0.9747	CSNK1D|RAB3GAP2|UBE2E1|ATP6V0C|THOC2|ACOT7|LRRC32|POLD4|E2F3|VPS11|AUH|NR4A2|SKIV2L2|ITGB5|RAG2|ZFR|LYN|KRT35|FLNA|GTF2H1	20|54|87|100|115|146|164|186|244|319|362|364|426|518|534|543|558|598|631|660	5.94|5.58|5.42|-5.38|5.31|-5.17|5.11|5.04|4.85|4.67|-4.57|4.56|4.44|-4.24|4.21|-4.19|-4.17|4.11|-4.05|-4
ZNF787	145	0.0025	0.37	0.9747	U2AF2|HOMER2|TNFRSF8|DKK4|PRKAA2|WNK1|WNT5A|KRT5|POLD3|HOXD8|PHKA2|EIF1AY|IVD|FAM131A|RELN|SLC25A44|ERC1|XRCC4|CDC27|LILRA2	49|87|103|126|135|219|248|257|269|373|402|432|472|499|574|678|756|789|909|915	-5.62|5.42|5.36|-5.28|5.24|4.92|-4.84|-4.81|4.77|4.54|-4.48|4.43|-4.33|4.28|-4.15|-3.98|3.88|-3.84|3.66|3.65
MYC	360	0.0018	0.371	0.9747	ROR1|MANF|HOXD13|CLK1|ARHGAP6|HMGA1|SAT1|M6PR|UBE2A|WDR46|MPG|PFAS|JOSD1|CD3G|DDIT4|JUP|PWP1|ZNF593|ADM|ALDOC	6|30|72|135|148|152|190|202|210|216|269|284|307|327|344|348|358|369|388|407	6.33|5.77|5.5|5.24|5.16|5.15|5.02|-4.99|-4.95|-4.93|4.77|-4.74|4.7|4.65|-4.62|4.61|4.58|-4.55|4.51|4.47
ZNF239	202	0.002	0.372	0.9747	KCNAB1|WISP2|MGST3|SNRNP27|BCAS1|SULT4A1|BANF1|NFAT5|VPS11|MRFAP1L1|SNX27|POU2F1|P2RX1|PTPRG|UGT2B7|PCDHGA12|CBARA1|ARR3|DAP3|NEUROD1	14|87|91|135|143|205|293|312|319|327|333|362|376|388|426|438|456|499|509|558	6.07|5.42|5.41|5.24|-5.2|4.98|4.72|-4.69|4.67|4.65|-4.64|-4.57|4.53|-4.51|4.44|-4.41|-4.36|4.28|-4.26|-4.17
FOXK2	281	0.0019	0.372	0.9747	ZC3H4|TXNL4A|CS|FABP5|SLC2A3|ENSA|ENDOD1|KCNA5|PADI2|PLEKHB1|DDIT4|USP46|NR4A2|IRF5|SEMG2|ISCA1|METTL1|SPTB|B4GALT2|MYO7A	4|12|66|75|91|112|117|156|261|333|344|358|364|369|397|402|438|509|513|518	6.37|6.1|5.52|5.49|5.41|5.32|-5.3|5.14|-4.79|4.64|-4.62|-4.58|4.56|4.55|4.49|4.48|-4.41|-4.26|4.25|4.24
MYOG	329	0.0019	0.374	0.9747	WNT10B|KCNAB1|KRT33A|TIAM1|CAMSAP1|KCNA3|ST5|FMOD|HLA-DMA|PLXNA2|RPS17|SLC25A12|SULT4A1|TLE1|NFATC4|BAIAP3|NFAT5|KLK3|BMP3|GATA4	8|14|25|33|61|70|93|110|110|156|176|194|205|216|230|289|312|321|338|344	6.26|6.07|5.84|5.74|5.55|5.51|5.4|5.33|5.33|5.14|5.07|5.01|4.98|4.93|4.89|4.73|-4.69|4.66|4.63|4.62
ATF6	188	0.0021	0.376	0.9747	ZC3H4|SLC25A16|BTN1A1|EXTL1|SRRT|PLA2G4C|MAGI2|METTL1|TNFSF8|TOP1|B4GALT2|DYNC1H1|MGLL|HNRNPD|VPS13B|TMEM159|STK38L|TERF1|PAM|GNAZ	4|36|43|106|120|212|216|438|445|485|513|529|574|604|624|631|678|838|929|962	6.37|5.72|5.68|-5.34|5.29|4.94|4.93|-4.41|-4.38|4.3|4.25|4.22|4.15|-4.1|-4.06|-4.05|-3.98|3.73|3.63|-3.59
JARID2	263	0.0019	0.376	0.9747	KCNAB1|CSNK1D|ARL4A|ZFP36L2|WISP2|AAMP|SLC2A3|UBE2L3|CLCN7|POLR2F|RAP2A|TNFAIP3|TLE1|WDR73|PMPCA|IDI1|CUL3|MRPS11|STMN1|IRF5	14|20|70|84|87|91|91|106|126|139|164|184|216|253|257|269|297|307|316|369	6.07|5.94|5.51|5.43|5.42|5.41|5.41|-5.34|5.28|5.22|5.11|5.05|4.93|-4.82|-4.81|-4.77|-4.71|-4.7|4.68|4.55
SOX9	242	0.0019	0.377	0.9747	ZC3H4|VPRBP|RBM39|TSHB|WDR46|PIGH|PMVK|NFATC4|LMAN2|HMGB1|ISCA1|LDOC1|TMEM147|BCLAF1|AGFG2|TARBP1|MICB|STC2|RNMT|ST14	4|91|142|199|216|228|228|230|284|293|402|436|456|509|655|673|692|692|711|736	6.37|-5.41|5.21|5|-4.93|-4.9|-4.9|4.89|4.74|-4.72|4.48|4.42|4.36|4.26|-4.01|-3.99|3.96|-3.96|-3.93|-3.9
ZNF674	208	0.0021	0.379	0.9747	RPL17|PTCH1|CAMSAP1|ABCC10|HOMER2|WISP2|EXTL1|EIF4G3|ABCB9|SULT4A1|EPX|FLT1|ABP1|PRKAB1|LCT|OAS2|ZFR|TK1|GDPD5|PUM1	23|47|61|75|87|87|106|130|199|205|358|426|467|479|494|529|543|580|606|606	5.85|5.63|5.55|5.49|5.42|5.42|-5.34|5.26|5|4.98|4.58|4.44|-4.34|4.31|4.29|4.22|-4.19|4.14|-4.09|4.09
NFATC4	209	0.002	0.379	0.9747	WNT10B|SLC25A36|RNF167|SOD1|WDR73|MPG|GOSR1|HIST1H2AH|VPS11|MRFAP1L1|ID2|TNFRSF4|RPS6KA3|PCDHGA12|N4BP3|ATP6V0A2|DYNC1H1|RAB3A|SCHIP1|VGLL4	8|110|160|234|253|269|307|316|319|327|344|382|388|438|467|518|529|558|558|566	6.26|-5.33|5.13|-4.88|-4.82|4.77|4.7|4.68|4.67|4.65|4.62|4.52|4.51|-4.41|-4.34|-4.24|4.22|4.17|4.17|-4.16
FOXF1	231	0.0021	0.381	0.9747	TRIM25|DNM1L|MGST3|FMOD|POLR2F|HYAL3|MAGI2|HOXC6|CD3G|P2RX1|N4BP2L2|ATP7A|CSRP1|ACVRL1|OSMR|ASL|BEX4|IFIT1|GZMK|ABCB1	8|84|91|110|139|202|216|280|327|376|407|467|467|472|472|485|518|534|547|574	6.26|5.43|5.41|5.33|5.22|4.99|4.93|4.75|4.65|4.53|-4.47|4.34|4.34|4.33|4.33|4.3|-4.24|4.21|4.18|-4.15
RUNX1	231	0.0021	0.381	0.9747	VPS13D|NCKAP1L|TPP1|NADK|FCER1G|SNRNP27|POLR2F|PLCB2|POLD3|SEC62|EPRS|MRPS11|ATP5D|ID2|MET|GATM|CSRP1|FAM131A|OAS2|RAG2	15|82|101|120|129|135|139|187|269|269|284|307|321|344|432|456|467|499|529|534	6.05|-5.45|5.37|-5.29|5.27|5.24|5.22|5.03|4.77|4.77|4.74|-4.7|4.66|4.62|4.43|-4.36|4.34|4.28|4.22|4.21
ILF3	628	0.0017	0.382	0.9747	KCNAB1|CSNK1D|MTHFS|PIK3C3|ABCF1|ARL4A|RIN2|ABCC10|NCKAP1L|AAMP|SLC2A3|VPRBP|RRP12|SRRT|EIF4G3|RPS19|HADHA|RAP2A|HNRNPK|SUPT5H	14|20|32|39|56|70|72|75|82|91|91|91|110|120|130|148|152|164|168|184	6.07|5.94|5.75|5.71|5.57|5.51|-5.5|5.49|-5.45|5.41|5.41|-5.41|5.33|5.29|5.26|5.16|5.15|5.11|5.1|5.05
ZNF8	258	0.0017	0.384	0.9747	TRIM25|RPL17|ALDH9A1|CFDP1|THUMPD1|HNRNPK|DYNLT3|HYAL3|SULT4A1|WNK1|PIGH|CFD|GYS2|SEC24B|POU2F1|TNFRSF4|PHKA2|STK16|PCDHGA12|POLR3F	8|23|61|126|160|168|194|202|205|219|228|289|307|338|362|382|402|418|438|566	6.26|5.85|5.55|-5.28|5.13|5.1|5.01|4.99|4.98|4.92|-4.9|4.73|4.7|4.63|-4.57|4.52|-4.48|4.45|-4.41|4.16
ZNF140	221	0.0019	0.387	0.9747	TXNL4A|KIAA0141|SMAP1|NCKAP1L|SNRNP27|RPS19|C1QL1|RECQL|MRFAP1L1|EIF1AY|SEC23B|ALDH5A1|CORO1A|OSBPL2|GTF2H1|COL10A1|TGM3|MEA1|DDX21|MLLT10	12|40|56|82|135|148|194|202|327|432|479|590|618|624|660|721|747|838|875|884	6.1|5.69|-5.57|-5.45|5.24|5.16|5.01|4.99|4.65|4.43|-4.31|-4.12|4.07|4.06|-4|-3.92|3.89|3.73|3.69|3.68
HOXB7	175	0.0021	0.39	0.9747	CLTA|BTN1A1|ALDH9A1|CLCN7|FCER1G|TP53I3|HOXC6|RNASE2|EIF5|DBF4|PGAP1|LCP2|CDKN1B|CDK2AP2|ALDOA|TAL1|LMO1|ACOT13|RAPGEF5|SSFA2	28|43|61|126|129|212|280|289|293|307|373|402|407|415|418|459|558|639|660|779	5.8|5.68|5.55|5.28|5.27|4.94|4.75|4.73|-4.72|4.7|4.54|4.48|-4.47|4.46|-4.45|4.35|4.17|4.03|4|3.85
ZNF185	216	0.0019	0.393	0.9747	TRIM25|ARPC2|ALDH9A1|NCKAP1L|ST5|ACADL|SPAG9|DSCR3|FADS1|SCRN1|SERPINA5|PTPRN2|C11orf49|GALNS|ATXN2L|TRIB1|GZMK|C2CD2|CTTN|PFKM	8|54|61|82|93|129|135|238|238|275|275|333|351|442|445|473|547|598|604|678	6.26|5.58|5.55|-5.45|5.4|-5.27|5.24|4.86|4.86|4.76|4.76|4.64|4.6|4.39|4.38|-4.32|4.18|-4.11|4.1|-3.98
CREB5	150	0.0022	0.394	0.9747	SMAP1|HADHA|LRRC32|OVGP1|SELE|PSPH|CDH18|ISCA1|ERCC8|DYNC1H1|RB1CC1|NPTX1|RPL34|TBX19|GGA3|TRAPPC3|ZNF799|SEC23A|ECD|TSPAN6	56|152|164|312|327|338|369|402|524|529|566|574|590|598|610|655|706|711|727|736	-5.57|5.15|5.11|4.69|-4.65|4.63|-4.55|4.48|-4.23|4.22|4.16|-4.15|-4.12|4.11|-4.08|4.01|-3.94|-3.93|-3.91|-3.9
ESR2	207	0.0019	0.395	0.9747	LDHA|ZBTB43|NLGN4Y|HOMER2|FMNL1|SRF|SLC25A12|GRAP2|TLE1|NQO1|HP|SEPT7|SPAG7|PCDHGA12|CENPF|MYH3|PATZ1|EVI2B|DUSP2|SERPINI1	5|11|78|87|168|176|194|207|216|230|352|382|382|438|459|524|574|624|631|721	6.34|6.11|5.47|5.42|5.1|5.07|5.01|4.97|4.93|4.89|4.59|4.52|4.52|-4.41|-4.35|4.23|-4.15|-4.06|4.05|-3.92
NPAT	267	0.0018	0.396	0.9747	ABCD4|CPT1B|BDNF|CEP110|NSMAF|SMAP1|HOMER2|MGST3|VPRBP|LCP1|KLF5|TCERG1|LILRB2|SRF|SERPINB6|NQO1|RNASE2|SELE|CEP68|RPS6KA3	10|21|27|46|52|56|87|91|91|126|142|172|176|176|194|230|289|327|364|388	6.12|5.9|5.81|-5.67|5.59|-5.57|5.42|5.41|-5.41|5.28|5.21|-5.08|-5.07|5.07|5.01|4.89|4.73|-4.65|4.56|4.51
RXRA	309	0.0017	0.396	0.9747	KCNAB1|DENND5A|SERPINA1|RIN2|SLC25A3|BCL2|FMOD|VWA5A|SRSF3|TCERG1|TNFAIP3|TP53I3|CTNND1|NR1D1|KRT5|PADI2|CFD|CAPN2|STMN1|SLC26A2	14|46|63|72|93|106|110|129|135|172|184|212|216|244|257|261|289|307|316|327	6.07|5.67|5.54|-5.5|5.4|5.34|5.33|5.27|-5.24|-5.08|5.05|4.94|-4.93|4.85|-4.81|-4.79|4.73|-4.7|4.68|-4.65
KLF4	255	0.0019	0.397	0.9747	MTMR11|CLTA|MANF|KIAA0182|RAB3GAP2|ALDH9A1|PLAGL2|UTF1|ERH|RPS19|DRG1|RNF167|GTF2I|C1QL1|MARCH2|MRPS11|NFAT5|SPRY2|STMN1|UBL4A	25|28|30|52|54|61|61|115|142|148|152|160|172|194|251|307|312|316|316|333	-5.84|5.8|5.77|5.59|5.58|5.55|5.55|5.31|-5.21|5.16|5.15|5.13|-5.08|5.01|4.83|-4.7|-4.69|-4.68|4.68|-4.64
RERE	257	0.0018	0.401	0.9747	TTLL3|PHF21A|ATP5C1|SLC25A12|M6PR|TNKS|SOD1|USP24|ABLIM1|RFPL1|POU2F1|PLEK|ISCA1|MECP2|BLK|PCK1|SEC23B|RASA2|ATP1A1|ASNA1	146|156|160|194|202|228|234|297|338|344|362|382|402|450|467|479|479|485|590|618	5.17|-5.14|5.13|5.01|-4.99|4.9|-4.88|4.71|4.63|-4.62|-4.57|-4.52|4.48|-4.37|4.34|4.31|-4.31|-4.3|4.12|4.07
PHTF1	260	0.0017	0.404	0.9747	MTHFS|KIAA0141|NSMAF|ARL6IP1|RBM39|HADHA|SUPT5H|GFPT2|EPX|CEP68|PCDHGA12|ATP11B|LCT|KCNJ15|RHOG|DYNC1H1|HNRNPA0|TK1|BRCA1|LIMS1	32|40|52|64|142|152|184|199|358|364|438|494|494|499|509|529|558|580|586|586	5.75|5.69|5.59|5.53|5.21|5.15|5.05|-5|4.58|4.56|-4.41|4.29|4.29|4.28|4.26|4.22|-4.17|4.14|4.13|-4.13
